Services,Description,Date,Tender Number,Department,Tender Type,Province,Date published,Closing date,Place where service will be required,Special conditions,Contact person,Contact email,Contact phone,Contact fax,Briefing Session,Is briefing required,Briefing date and time,Briefing venue,Tender documents
Security and investigation activities,Appointment of Service Provider to conduct an investigation and advise on Loss Control Function,18/08/2023,RFQ 25/2023 PB,South African Post Office Limited,Request for Quotation,Gauteng,18.08.2023,07.09.2023,National Postal Centre (NPC)  Cnr 497 Sophie de Bruyn & Jeff Masemola Streets Pretoria  0002 - Pretoria - Pretoria Central - 0002,N/A,Lwandle Mgidlana,Lwandle.Mgidlana@postbank.co.za,000-000-0000,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=7bcd42ad-bad9-4d64-937d-c6675a40a6a7.pdf&downloadedFileName=RFQ+25_2023+Appointment+of+Service+Provider+to+conduct+an+Investigation+and+advise+on+Loss+Control++Function-Final.pdf
Services: Professional,APPOINTMENT OF AN INVESTIGATION CONSULTANT FOR BA-PHALABORWA MUNICIPALITY,18/08/2023,08/23/24,Ba-Phalaborwa Local Municipality,Request for Bid(Open-Tender),Limpopo,18.08.2023,15.09.2023,Cnr Nelson Mandela and Sealene street - Phalaborwa - Phalaborwa - 1390,N/A,Mashale TS,mashalet@ba-phalaborwa.com.za,015-780-6300,N/A,Yes,Yes,"Monday, 04 September 2023 - 10:00",Municipal Activity hall,https://www.etenders.gov.za/home/Download/?blobName=00b54c61-e35c-4e51-bf28-18c806545081.pdf&downloadedFileName=Tender+Document.+Investigation+Consultant.pdf
Security and investigation activities,RENDERING OF SECURITY SERVICES TO THE MOSSEL BAY MUNICIPALITY,18/08/2023,TDR20/2023/2024,Mossel Bay Municipality,Request for Bid(Open-Tender),Western Cape,18.08.2023,22.09.2023,101 March Street - Mossel Bay Municipality - Mossel Bay - 6500,N/A,Mr leornard Joseph,ljosephs@mosselbay.gov.za,044-606-5000,000-000-0000,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=db065e1e-9e89-4ba7-b5f2-0b7007cd9e6f.pdf&downloadedFileName=20-2023-2024+ADVERT.pdf, https://www.etenders.gov.za/home/Download/?blobName=5d2068ca-3497-4796-afd7-65d9bce10a0d.pdf&downloadedFileName=20-2023-2024+Tender+Document.pdf"
Services: General,UPGRADE OF CONTROL & INSTRUMENTATION SYSTEM,18/08/2023,MTK 08/2023,MINTEK,Request for Bid(Open-Tender),Gauteng,18.08.2023,12.09.2023,200 Malibongwe Drive - Strydom Park - Randburg - 2194,N/A,Tenders at Mintek,tenders@mintek.co.za,000-000-0000,N/A,Yes,Yes,"Tuesday, 29 August 2023 - 11:00","Mintek Auditorium (200 Malibongwe Drive, Randburg)","https://www.etenders.gov.za/home/Download/?blobName=0a02c1e7-5bb4-46b5-882c-be60fcf47463.pdf&downloadedFileName=Mintek-Non-Disclosure+Agreement+for+RFP+Tender+for+Bay+2.pdf, https://www.etenders.gov.za/home/Download/?blobName=bb085dce-5d5c-40e9-8cef-f84f6f78de08.pdf&downloadedFileName=MTK+08-2023+Tender+Document.pdf"
Construction of buildings,Water and Sanitation at Mgabadeli Primary School,18/08/2023,ZNTU 03989 W,Public Works,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,22.09.2023,Prince Mangosuthu Street - Ulundi - ULUNDI - 3838,Requirement is 4GB or Higher,S.S. Mbatha,sindi.mbatha@kznworks.gov.za,035-874-3353,035-874-3357,Yes,Yes,"Thursday, 31 August 2023 - 11:00",L.A. Chamber - Ulundi,"https://www.etenders.gov.za/home/Download/?blobName=ae05a23a-58dc-488d-9105-4da0f7c8945d.pdf&downloadedFileName=MGABADELI+PS+-+VOL+1.pdf, https://www.etenders.gov.za/home/Download/?blobName=9646104c-5dae-4ddd-82e7-9021d126cecd.pdf&downloadedFileName=MGABADELI+PS+-+VOL+2.pdf"
Other service activities,SUPPLY AND DELIVERY OF 15 LOUDHAILERS,18/08/2023,MM-B026/23/24,Dr Nkosazana Dlamini Zuma Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,04.09.2023,Main Street - Creighton - Creighton - 3263,"NB: The offers must remain valid for 90 days from the closing date for submission of bids 

Dr Nkosazana Dlamini Zuma Municipality does not bind itself to accept the lowest or any bid and reserves the right to accept the whole or any part of the Bid",Miss N Holiwe,holiwen@ndz.gov.za,039-833-1038,039-833-1179,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=d6c8846c-5f7a-4be9-ba69-c8e0f2e2b9f4.docx&downloadedFileName=NDZ+ADVERTS.docx
Supplies: General,EVENTS MANAGEMENT COMPANY TO FACILITATE HERITAGE DAY CELEBRATION,18/08/2023,RFQ 529-08-2023,Lejweleputswa District Municipality,Request for Quotation,Free State,18.08.2023,25.08.2023,Cnr Tempest and Jan Hofmeyer Road - Jim Fouche park - Welkom - 9460,N/A,Mr. M. Ngoase,ngoasemanti1234@gmail.com,057-101-0187,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=d1ea179e-efb5-4473-b302-6b8b4914c264.pdf&downloadedFileName=SPECIFICATIONS-+RFQ+529082023-+EVENTS+MANAGEMENT+COMPANY+TO+FAC.pdf, https://www.etenders.gov.za/home/Download/?blobName=96fa5e7d-9403-46be-8b57-74432a2b9b42.pdf&downloadedFileName=RFQ+529082023-+EVENTS+MANAGEMENT+COMPANY+TO+FACILITATE+HERITAGE.pdf, https://www.etenders.gov.za/home/Download/?blobName=46e447aa-c2db-49c5-b475-fc45eb3dea2a.pdf&downloadedFileName=MBD+1-+RFQ+529082023-+EVENTS+MANAGEMENT+COMPANY+TO+FACILITATE+H.pdf"
Construction of buildings,Water and Sanitation at Nomaqoni High School,18/08/2023,ZNTU 01904 W,Public Works,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,22.09.2023,Prince Mangosuthu Street - Ulundi - ULUNDI - 3838,Requirement is 4GB or Higher,S.S. Mbatha,sindi.mbatha@kznworks.gov.za,035-874-3353,035-874-3357,Yes,Yes,"Thursday, 31 August 2023 - 11:00",L.A. Chamber - Ulundi,"https://www.etenders.gov.za/home/Download/?blobName=51ee8e96-f5ec-4291-845f-1a761542f20c.pdf&downloadedFileName=Nomaqoni+SS-Volume+2.pdf, https://www.etenders.gov.za/home/Download/?blobName=ce33ad1c-87f4-474a-9e45-81783b6dff06.pdf&downloadedFileName=Nomaqoni+SS-Volume+1.pdf"
Disposals: General,"DISPOSAL -  INVITATION TO TENDER – An enquiry and disposal process in order to establish an Enabling Sale Agreement with a pre-qualified panel of Auctioneers for the appointment of Auctioneers to a panel to sell Eskom Redundant vehicles to Eskom staff first and then the balance remaining to the open market, on an “as and when” required basis, for a period of twenty four (24) months for the entire of Eskom and Eskom subsidiary companies nationally.",18/08/2023,KZN097,ESKOM,Request for Bid(Open-Tender),National,18.08.2023,08.09.2023,,There will be an MS Teams Clarification meeting.  Kindly refer to the tender for meeting details.,Reqeba Kamroodeen,kamroore@eskom.co.za,031-710-5674,N/A,Yes,NO,"Thursday, 24 August 2023 - 14:00",MS TEAMS,"https://www.etenders.gov.za/home/Download/?blobName=b09b95fb-3806-4827-9e0a-0b3424a369c3.docx&downloadedFileName=Annexure+A.1+Acknowledgement+Form+-+Reverse+E-auctioning+Training.docx, https://www.etenders.gov.za/home/Download/?blobName=9348595a-dae8-45d6-911b-753349b7029e.pdf&downloadedFileName=ENQUIRY+-++KZN097+-+VEHICLES+AUCT+PANEL.pdf, https://www.etenders.gov.za/home/Download/?blobName=15c834f9-872c-4bea-a703-76f976e583e8.pdf&downloadedFileName=Eskom_Standard_Conditions_of_Tender.docx+-+MAY+27.pdf, https://www.etenders.gov.za/home/Download/?blobName=9360995d-bd07-4891-9338-8cf41b7c5db0.doc&downloadedFileName=Annexure+A.2+Definition+of+Reverse+E-auctioning.doc, https://www.etenders.gov.za/home/Download/?blobName=8ee915de-c96a-4fff-b485-bfab6376f0b0.pdf&downloadedFileName=sbd-4-declaration-of-interest.pdf"
Information and communication,SUPPLY OF NETWORK EQUIPMENT FOR THE EAST LONDON INDUSTRIAL DEVELOPMENT ZONE SOC LTD,18/08/2023,PROJ-ICT-116 RT,Eastern Cape - East London Industrial Development Zone Corporation,Request for Quotation,Eastern Cape,18.08.2023,22.09.2023,"ELIDZ Head Office, Lower Chester Road - Sunnyridge  - East London - 5201",Appointed Service Provider must deliver the equipment to ELIDZ before 31 November 2023 .,Zandile Mtebele,zandile@elidz.co.za,043-702-8200,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=bcfa50b9-f705-4c56-8d79-e641a569208f.pdf&downloadedFileName=Envelope+A+-+PROJ-ICT-116+Network+Upgrade+Phase+3+RT.pdf
Construction of buildings,Water and Sanitation at Thusane Primary School,18/08/2023,ZNTU 01887 W,Public Works,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,22.09.2023,Prince Mangosuthu Street - Ulundi - ULUNDI - 3838,Requirement is 5GB or Higher,S.S. Mbatha,sindi.mbatha@kznworks.gov.za,035-874-3353,035-874-3357,Yes,Yes,"Thursday, 31 August 2023 - 11:00",L.A. Chamber - Ulundi,"https://www.etenders.gov.za/home/Download/?blobName=c963e66a-b637-46f1-a3dd-402b9b7fcb63.pdf&downloadedFileName=Thusane+PS-+Volume+1.pdf, https://www.etenders.gov.za/home/Download/?blobName=09ec1fea-c358-4eed-b8b6-72f0c57b7dfa.pdf&downloadedFileName=Thusane+PS-Volume+2.pdf"
"Water collection, treatment and supply",Appointment of a service provider for provisioning of x5 purifying water containers for period of three years,18/08/2023,RFQ/CMS/CS/202208,Council for Medical Schemes,Request for Quotation,Gauteng,18.08.2023,25.08.2023,"Block A, Eco Glades 2 Office Park,420 Witch – Hazel Avenue - Eco-Park - Centurion - 0157",none,Wilma Warden,w.warden@medicalschemes.co.za,012-431-0518,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=bbea86f3-cbbd-489b-8fd9-3d38b390ac0c.pdf&downloadedFileName=Appointment+of+a+service+provider+for+provisioning+of+x5+purify+water+containers+for+period+of+three+years+RFQ-CMS-CS-202208.pdf
Construction of buildings,Water and Sanitation at Isigodi Primary School,18/08/2023,ZNTU 02091 W,Public Works,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,22.09.2023,Prince Mangosuthu Street - Ulundi - ULUNDI - 3838,Requirement is 4GB or Higher,S.S. Mbatha,sindi.mbatha@kznworks.gov.za,035-874-3353,035-874-3357,Yes,Yes,"Thursday, 31 August 2023 - 11:00",L.A. Chamber - Ulundi,"https://www.etenders.gov.za/home/Download/?blobName=533f73cc-319f-44a6-a300-8abb8c8849b7.pdf&downloadedFileName=Isigodi+PS+-Volume+1.pdf, https://www.etenders.gov.za/home/Download/?blobName=31a8f57e-75e2-4f9a-979f-e6c3d9639c2e.pdf&downloadedFileName=Isigodi+PS-Volume+2.pdf"
Services: Professional,"TO APPOINT A SERVICE PROVIDER (SP) TO FACILITATE THE ESTABLISHMENT OF A SMALL-SCALE FISHERY LOCAL CO-MANAGEMENT STRUCTURE FOR SMALL-SCALE FISHING CO-OPERATIVES WITHIN THE PORT ST JOHNS MUNICIPALITY IN EASTERN CAPE, WITHIN FIVE (5) MONTHS.",18/08/2023,RFQ000701,Marine Living Resources Fund,Request for Quotation,Eastern Cape,18.08.2023,29.08.2023,Martin Hammerschlag Way - Foreshore - Cape Town - 8001,N/A,Bazukile Ngxaki,BNgxaki@dffe.gov.za,021-402-3109,N/A,Yes,NO,"Tuesday, 22 August 2023 - 11:00",,https://www.etenders.gov.za/home/Download/?blobName=3580ebd8-e0b9-4b80-ad72-4c6e18d45ac9.pdf&downloadedFileName=RFQ000701.pdf
Construction,"SUPPLY AND ERECT 8 BUS SHELTERS (WARD 1,2,3,4,5,6,7 &8)",18/08/2023,PWBS-B029/23/24,Dr Nkosazana Dlamini Zuma Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,24.09.2023,Main Street - Creighton - Creighton - 3263,"NB: The offers must remain valid for 90 days from the closing date for submission of bids 

Dr Nkosazana Dlamini Zuma Municipality does not bind itself to accept the lowest or any bid and reserves the right to accept the whole or any part of the Bid.",Miss N Holiwe,holiwen@ndz.gov.za,039-833-1038,039-833-1179,Yes,Yes,"Monday, 28 August 2023 - 10:00",CREIGHTON OFFICE,https://www.etenders.gov.za/home/Download/?blobName=1db6ab0b-835b-4324-9bcf-c6a87cd36f1a.docx&downloadedFileName=NDZ+ADVERTS.docx
Construction of buildings,Water and Sanitation at Dover Combined School,18/08/2023,ZNTU 01912 W,Public Works,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,22.09.2023,Prince Mangosuthu Street - Ulundi - ULUNDI - 3838,Requirement is 4GB or Higher,S.S. Mbatha,sindi.mbatha@kznworks.gov.za,035-874-3353,035-874-3357,Yes,Yes,"Thursday, 31 August 2023 - 11:00",L.A. Chamber - Ulundi,"https://www.etenders.gov.za/home/Download/?blobName=ea5cd7b4-742d-42c6-ae2e-9d3803f38653.pdf&downloadedFileName=Dover+CS-Volume+2+%282%29.pdf, https://www.etenders.gov.za/home/Download/?blobName=74cd5295-db67-40d9-ad5a-d4c70a6904b4.pdf&downloadedFileName=Dover+CS-Volume+1.pdf"
Food and beverage service activities,"THE APPOINTMENT OF A SUITABLE SERVICE PROVIDER FOR THE PROVISION OF COURIER AND FREIGHT SERVICES A PERIOD OF SIX 
(6) MONTHS",18/08/2023,PR\BS\000978,Food and Beverages Manufacturing Industry,Request for Quotation,Gauteng,18.08.2023,31.08.2023,7 wessels Road - Johannesburg - Johannesburg - 2128,N/A,Lunga Mokoena,LungaM@foodbev.co.za,011-253-7300,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=05a0895c-6cc8-4ddf-a9d6-d2c8fa841992.pdf&downloadedFileName=RQF+Specification-Courier+Services+Advert.pdf
Services: Professional,"APPOINTMENT OF A SUITABLE SERVICE PROVIDER TO PROVIDE SPECIALISED SUPPORT SERVICES TO THE HUMAN RESOURCE DEVELOPMENT COUNCIL (HRDC): FINANCIAL MANAGEMENT, SUPPLY CHAIN MANAGEMENT, HUMAN RESOURCE MANAGEMENT AND PROJECT ADMINISTRATION SERVICES FOR A PERIOD OF TWO (2) YEARS",18/08/2023,DHET155,Higher Education & Training,Request for Bid(Open-Tender),Gauteng,18.08.2023,15.09.2023,117 - 123 Francis Baard Street - PRETORIA - PRETORIA - 0002,N/A,Supply Chain Management,tenders@dhet.gov.za,012-312-5288,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=fdff2a2a-b593-412f-acf2-20ad479f2dbf.docx&downloadedFileName=DHET155+SBD+6.1+IN+TERMS+OF+PPR+2022+WITH+3+GOALS+%282%29.docx, https://www.etenders.gov.za/home/Download/?blobName=4f178c09-6cf7-4376-8657-3fba24ba5bcb.docx&downloadedFileName=DHET155+REVISED+SBD1+%2810%29.docx, https://www.etenders.gov.za/home/Download/?blobName=1b735a01-c3a5-4080-a4d0-79ffd085275f.doc&downloadedFileName=DHET155+SCM-Bid+documents+SBD+3.3+%282%29.doc, https://www.etenders.gov.za/home/Download/?blobName=93079196-e997-41f5-b1d6-9aa585d9bf75.docx&downloadedFileName=GCC+GENERAL+CONDITIONS+OF+CONTRACT.docx, https://www.etenders.gov.za/home/Download/?blobName=91ee3bfa-5a75-4851-b3e5-9de3b2bcfa98.docx&downloadedFileName=POPI+ACT+DOCUMENT.docx, https://www.etenders.gov.za/home/Download/?blobName=7c18415a-4f28-4ede-96f5-b7bdb45be99e.pdf&downloadedFileName=DHET155+TERMS+OF+REFERENCE.pdf, https://www.etenders.gov.za/home/Download/?blobName=4d0a91c0-82f6-458a-877f-fc81a649a6d6.doc&downloadedFileName=DHET155++Standard+Bidding+Document+%28SDB%29+4_Annexure+A+%28003%29.doc"
Supplies: General,SUPPLY AND DELIVERY OF CONCRETE STORM WATER PIPES,18/08/2023,PWBS-B028/23/24,Dr Nkosazana Dlamini Zuma Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,07.09.2023,Main Street - Creighton - Creighton - 3263,"NB: The offers must remain valid for 90 days from the closing date for submission of bids 

Dr Nkosazana Dlamini Zuma Municipality does not bind itself to accept the lowest or any bid and reserves the right to accept the whole or any part of the Bid.",Miss N Holiwe,holiwen@ndz.gov.za,039-833-1038,039-833-1179,Yes,Yes,"Tuesday, 29 August 2023 - 10:00",CREIGHTON OFFICE,https://www.etenders.gov.za/home/Download/?blobName=93337682-4bd1-46c4-ac3b-524c4cf4e036.docx&downloadedFileName=NDZ+ADVERTS.docx
Construction of buildings,Completion Contract:  Demolish existing guardhouse and construction of new offices at Nkandla Local Offices,18/08/2023,ZNTU 04237 W,Public Works,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,26.09.2023,Prince Mangosuthu Street - Ulundi - ULUNDI - 3838,Requirement is 7GB or Higher,S.S. Mbatha,sindi.mbatha@kznworks.gov.za,035-874-3353,035-874-3357,Yes,Yes,"Friday, 01 September 2023 - 11:00","On site - Nkandla Local Offices, Nkandla town next opposite Cash Build","https://www.etenders.gov.za/home/Download/?blobName=44ec695f-a35e-499c-8305-76492a79b99f.pdf&downloadedFileName=NKANDLA+VOLUME+1.pdf, https://www.etenders.gov.za/home/Download/?blobName=e86b3434-704d-4a01-add8-bc0f90c59cc6.pdf&downloadedFileName=NKANDLA+VOLUME+2.pdf"
Services: Civil,"Appointment Of A Service Provider To Design, Supply And Install A 70kWp Functional Rooftop Photovoltaic System At Port Elizabeth Operation Centre.",18/08/2023,SENT-026-2023-24,Sentech Limited,Request for Proposal,Eastern Cape,18.08.2023,18.09.2023,01 Octave road - Radiokop - Honeydew - 2040,N/A,Amukelani/Norman/Nosipho,tendera@sentech.co.za,011-471-4543,N/A,Yes,Yes,"Tuesday, 05 September 2023 - 11:00",Port Elizabeth Operation Centre,https://www.etenders.gov.za/home/Download/?blobName=145c301b-eb1b-4d84-9310-2e6a113481b5.zip&downloadedFileName=BID+PACK.zip
Services: Professional,"APPOINTMENT OF A SUITABLE SERVICE PROVIDER TO PROVIDE SPECIALISED SUPPORT SERVICES TO THE NATIONAL SKILLS AUTHORITY (NSA): FINANCIAL MANAGEMENT, SUPPLY CHAIN MANAGEMENT, PROJECT ADMINISTRATION AND HUMAN RESOURCE MANAGEMENT SERVICES FOR A PERIOD OF THREE (3) YEARS",18/08/2023,DHET154,Higher Education & Training,Request for Bid(Open-Tender),Gauteng,18.08.2023,22.09.2023,117 - 123 Francis Baard Street - PRETORIA - PRETORIA - 0002,N/A,Supply Chain Management,tenders@dhet.gov.za,012-312-5288,N/A,Yes,NO,"Friday, 01 September 2023 - 10:00",Follow a link on the Department website,"https://www.etenders.gov.za/home/Download/?blobName=49d9cc46-4a9c-470f-afa1-1cec6656982d.docx&downloadedFileName=POPI+ACT+DOCUMENT.docx, https://www.etenders.gov.za/home/Download/?blobName=f08799e3-9e05-466f-b420-204753c0079a.docx&downloadedFileName=GCC+GENERAL+CONDITIONS+OF+CONTRACT.docx, https://www.etenders.gov.za/home/Download/?blobName=a26a7169-de93-4c5c-89ff-28461004eee9.doc&downloadedFileName=NSA+FUND+MANAGER+TOR+-+DHET154.doc, https://www.etenders.gov.za/home/Download/?blobName=87ee9e5d-1076-42b0-b25a-918275ff250d.docx&downloadedFileName=DHET154+SBD+6.1+IN+TERMS+OF+PPR+2022+WITH+3+GOALS+%282%29.docx, https://www.etenders.gov.za/home/Download/?blobName=6d8946af-66e8-42c1-b528-a68874033d0c.doc&downloadedFileName=DHET154+SCM-Bid+documents+SBD+3.3+%282%29.doc, https://www.etenders.gov.za/home/Download/?blobName=2748ffbf-2ee9-4923-88cd-cb90e7af28bd.doc&downloadedFileName=DHET154+Standard+Bidding+Document+%28SDB%29+4_Annexure+A+%28003%29.doc, https://www.etenders.gov.za/home/Download/?blobName=9f29e75b-568d-470c-ba5f-d6e8b99b414f.docx&downloadedFileName=DHET154+REVISED+SBD1+%2810%29.docx"
"Libraries, archives, museums and other cultural activities",THE APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE AND SUPPORT A LIBRARY MANAGEMENT SOFTWARE SOLUTION THAT PROVIDES FOR THE SEAMLESS CONTINUED OPERATION OF THE DEPARTMENT’S LIBRARIES TO BEST PRACTICE LOCAL AND INTERNATIONAL LIBRARY STANDARDS FOR A PERIOD OF FIVE (05) YEARS,18/08/2023,DFFE-T031 (23-24),"National - Environment, Forestry and Fisheries",Request for Bid(Open-Tender),National,18.08.2023,08.09.2023,473 Steve Biko Road - Arcadia - Pretoria - 0001,N/A,DFFE Officials,Tenders@dffe.gov.za,012-399-9892,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=5ba66ebb-f7bf-4ccb-9fc5-83b22ee77858.pdf&downloadedFileName=DFFE-T031+%2823-24%29+ADVERT.pdf
Education,PROVISION OF BRUSH CUTTER TRAINING FOR HANDYMAN AS AND WHEN REQUIRE FOR THE PERIOD OF THREE (03) AT MIDMAR TRAING CENTRE.,18/08/2023,0010170922,Kwa-Zulu Natal - Ezemvelo KwaZulu-Natal Wildlife,Request for Quotation,KwaZulu-Natal,18.08.2023,25.08.2023,Midmar Resort - Howick - Howick - 3201,N/A,Nobuhle Magubane,hlelan@kznwildlife.com,033-834-1833,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=fa1a08af-5cb0-42e2-8cee-744bff5a132a.pdf&downloadedFileName=BRUSH+CUTTER+DOCUMENT.pdf
Supplies: Computer Equipment,"BID FOR THE APPOINTMENT OF SERVICE PROVIDER FOR
SUPPLY AND DELIVERY OF 120 LAPTOPS AS PER
SPECIFICATION",18/08/2023,SCMU5-23/24-0044,Eastern Cape - Public Works and Infrastructure,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,19.09.2023,"QHASANA BUILDING, INDEPENDENCE AVENUE - BHISHO - BHISHO - 5605",N/A,YAVELA SOFIKA,yavela.sofika@ecdpw.gov.za,040-602-4188,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=2b5222f0-300e-49b2-82d1-fb8c2f103134.pdf&downloadedFileName=SCMU5-23-24-0044+120+for+120+laptops+FINAL+DOC.pdf
Services: General,REQUEST FOR QUOTATION (RFQ) FOR THE SUPPLY AND DELIVERY OF CORPORATE AND HEALTHCARE UNIFORM,18/08/2023,10341005,Passenger Rail Agency of South Africa,Request for Quotation,Gauteng,18.08.2023,24.08.2023,"PRASA , CNR LEYDS AND SIMMONDS, GROUND FLOOR, SHOSHOLOZA JUNCTION - BRAAMFONTEIN - JOHANNESBURG - 2000",N/A,THOLAKELE DUZE,tholakele.duze@prasa.com,011-085-7332,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=a479b837-0b6c-468a-8b65-634d56b28ee9.pdf&downloadedFileName=RFQ+10341005++CORPORATE+AND+HEALTHCARE+UNIFORM++.pdf
Services: Functional (Including Cleaning and Security Services),"BID FOR THE APPOINTMENT OF A SERVICE PROVIDER(S) TO PROVIDE
SECURITY SERVICES FOR HEAD OFFICE CLUSTERS FOR A PERIOD OF
36 MONTHS",18/08/2023,SCMU5-23/24-0048,Eastern Cape - Public Works and Infrastructure,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,14.09.2023,"QHASANA BUILDING, INDEPENDENCE AVENUE - BHISHO - BHISHO - 5605",N/A,Unathi Jack,unathi.jack@ecdpw.gov.za,040-602-4525,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=b3b56aad-952c-4820-a6f2-6c51641bd6e0.pdf&downloadedFileName=SCMU5-23-24-0048+Bid+for+Head+Office+Clusters+FINAL+DOC.pdf
Other service activities,REQUEST TO PROCURE OFFICE FURNITURE AND SHREDDERS,18/08/2023,DFFEQ007- CPT(2023-2024),"National - Environment, Forestry and Fisheries",Request for Quotation,Western Cape,18.08.2023,31.08.2023,"2 East Pier Building, East Pier Road - V&A Waterfront - Cape Town - 8002",N/A,Ms Qonda Mcatshulwa,ssajini@dffe.gov.za,012-493-7152,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=68964a4e-558f-4a1a-ab21-37f00615679d.pdf&downloadedFileName=ADVERT-RFQ-DFFEQ007+CPT+23-24.pdf
Education,Provision Of Ezemvelo’s First Aiders’ Training As An When Required For The Period Of Three (03) Years. AT (Midmar Training Center Howick,18/08/2023,0010170920,Kwa-Zulu Natal - Ezemvelo KwaZulu-Natal Wildlife,Request for Quotation,KwaZulu-Natal,18.08.2023,25.08.2023,Midmar Resort - Howick - Howick - 2301,N/A,Nobuhle Magubane,hlelan@kznwildlife.com,033-845-1833,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=4e2c7299-c6bd-4c94-9e68-6cfdf5711d7c.pdf&downloadedFileName=PROVISION+OF+EZEMVELO%E2%80%99S+FIRST+AIDERS%E2%80%99+TRAINING.pdf
Services: Functional (Including Cleaning and Security Services),"BID FOR THE APPOINTMENT OF A SERVICE PROVIDER(S) TO PROVIDE
SECURITY SERVICES FOR REGIONAL CLUSTERS FOR A PERIOD OF 36
MONTHS",18/08/2023,SCMU5-23/24-0049,Eastern Cape - Public Works and Infrastructure,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,14.09.2023,"QHASANA BUILDING, INDEPENDENCE AVENUE - BHISHO - BHISHO - 5605",N/A,UNATHI JACK,unathi.jack@ecdpw.gov.za,040-602-4525,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=62c4f2a5-0a37-461f-a50f-99ddd7ce36b1.pdf&downloadedFileName=SCMU5-23-24-0049++Bid+for+Regional+Clusters+FINAL+DOC.pdf
Supplies: General,SUPPLY AND DELIVERY OF CLEANING MATERIALS FOR TECHNICAL SERVICES DEPARTMENT,18/08/2023,Q03059,Umzinyathi District Municipality,Request for Quotation,KwaZulu-Natal,18.08.2023,25.08.2023,"Princess Magogo Building, 39 Victoria Street - Endumeni - Dundee - 3000",N/A,Ms. Samkelisiwe Myaka,Myakas@umzinyathi.gov.za,034-219-1500,034-219-1595,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=5959597c-b0d4-4e5b-b721-558ad7e57b15.pdf&downloadedFileName=BID+DOCUMENT+FOR+Q03059+-+SUPPLY+AND+DELIVERY+OF+CLEANING+MATERIALS+FOR+TECHNICAL+SERVICES+DEPARTMENT.pdf
Services: General,Procurement of an Independent Technical Reviewer for the Evaluation Process undertaken for the ESIPPPP.,18/08/2023,RFP196/2023,Development Bank of Southern Africa,Request for Bid(Open-Tender),National,18.08.2023,08.09.2023,Lever Road - Headway Hill - Johannesburg - 1685,N/A,Vusi Kunene,VusiSCM@dbsa.org,011-313-3518,N/A,Yes,Yes,"Monday, 28 August 2023 - 11:00","Microsoft Teams Meeting,  Meeting Link on Tender document","https://www.etenders.gov.za/home/Download/?blobName=92064773-a54d-4432-b72a-58d8892070d3.pdf&downloadedFileName=RFP196.2023+-+Procurement+of+an+Independent+Technical+Reviewer+for+the+Evaluation+Process+undertaken+for+the+ESIPPPP.pdf, https://www.etenders.gov.za/home/Download/?blobName=79c9f805-b717-49b6-8b02-a1e015e365e5.docx&downloadedFileName=Annexure+A+-+Project+list+Template+RFP196.2023.docx"
