Services,Description,Date,Tender Number,Department,Tender Type,Province,Date published,Closing date,Place where service will be required,Special conditions,Contact person,Contact email,Contact phone,Contact fax,Briefing Session,Is briefing required,Briefing date and time,Briefing venue,Tender documents
Services: General,Supply and delivery of road traffic line paint,24/08/2023,SUPPLIES & SERVICES CONTRACT No. 10 OF 2023-SECTIO,Msunduzi Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,24.08.2023,26.09.2023,Msunduzi Municipality's Area of Jurisdiction - ALL SUBURBS WITHIN THE MSUNDUZI MUNICIPALITY’S AREA OF JURISDICTION - Pietermaritzburg - 3201,Only Tenderers who submit samples timeously together with valid certified copies of SABS 731-1: 2001 and ISO 9001 Certificates will be considered for appointment.,Nevan Naidu,nevan.naidu@msunduzi.gov.za,069-323-3555,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=23406cc7-d030-4e2f-a364-3145d4a69740.pdf&downloadedFileName=SS+10+OF+2023-Section+2-Traffic+Line+Paint.pdf
"Other professional, scientific and technical activities","Golden shield awards (gosha) supply deliver and set-up of stage, sound and lighting at the artscape theatre centre in cape town on 14 september 2023",24/08/2023,RFQ NHC/2023/24/102,National Heritage Council of South Africa,Request for Quotation,Western Cape,24.08.2023,31.08.2023,24 Jan Smuts Street  - Cape Town - Cape Town - 8001,None,Matanato Ngwaila,m.ngwaila@nhc.org.za,012-748-3949,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=6ff1663b-5c3d-41f1-9b05-b1ea27759f6c.pdf&downloadedFileName=RFQ+NHC-2023-24-102+-+GOSHA+Stage%2C+Sound+and+Lighting.pdf
Services: Building,Maintenance of escalators at o. r. tambo international airport for a period of 5 years,24/08/2023,ORTIA7121/2023/RFP,Airports Company of South Africa,Request for Proposal,Gauteng,24.08.2023,02.10.2023,O R Tambo International Airport - Kempton Park - Johanneburg - 0001,N/A,Motlhabane Molamu,motlhabane.molamu@airports.co.za,011-409-3999,N/A,Yes,Yes,"Monday, 04 September 2023 - 11:00","O R Tambo International Airport, North Wing,  3rd Floor, ACSA Offices, Kudu Boardroom","https://www.etenders.gov.za/home/Download/?blobName=db063ba0-776f-448b-8b1c-26414d7f6ba4.pdf&downloadedFileName=CIDB+RFP+Bid+document+Maintenance+of+escalators.pdf, https://www.etenders.gov.za/home/Download/?blobName=04546ca1-769d-46a4-b957-769a8f779c14.pdf&downloadedFileName=NEC+Maintenance+of+Escalators.pdf"
"Professional, scientific and technical activities",Provision for a panel of professional principal agents,24/08/2023,Service 1,Majuba Tvet college,Request for Proposal,KwaZulu-Natal,24.08.2023,14.09.2023,83 Allen Street - CBD - CBD - 2940,Please see attached advert for Proposal to be sumitted,Peggy Mazibuko,peggy.mazibuko@majuba.edu.za,034-326-4888,034-326-4111,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=967a3784-25e8-4953-99a6-dd67a7a66427.pdf&downloadedFileName=PROFESSIONAL+SERVICE+PROVIDERS.pdf
"Other professional, scientific and technical activities",Provision for a panel of professional structural and civil engineering consultants,24/08/2023,Service 2,Majuba Tvet college,Request for Proposal,KwaZulu-Natal,24.08.2023,14.09.2023,83 Allen Street - CBD - CBD - 2940,Please see the attached advert for further information,Peggy Mazibuko,peggy.mazibuko@majuba.edu.za,034-326-4888,034-326-4111,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=3462aa27-2edf-4bf9-943e-29768afec706.pdf&downloadedFileName=PROFESSIONAL+SERVICE+PROVIDERS.pdf
Other service activities,Appointment of a service provider to install torch-on waterproofing on the floor 1st floor roof and 9th floor roof of hsrc building in pretoria,24/08/2023,HSRC/05/2023/24,Human Sciences Research Council,Request for Bid(Open-Tender),National,24.08.2023,15.09.2023,134 Pretorius - Pretoria - Pretoria - 0002,"Briefing Compulsory venue : Forum 150 HSRC Building,134 Pretorius Street, Pretoria",cornet Mashego,cmashego@hsrc.ac.za,012-302-2180,N/A,Yes,Yes,"Friday, 01 September 2023 - 10:00","Forum 150 HSRC Building,134 Pretorius Street, Pretoria",https://www.etenders.gov.za/home/Download/?blobName=c3916a86-1914-499d-bb29-8aa2cde4ef82.pdf&downloadedFileName=Term+of+Reference+waterproofing.pdf
Administrative and support activities,"Request for quotation (rfq) for appointment of 
service provider to develop an ict disaster plan for prasa

please note that the specific goals are out of 20 points meaning 4 each catergory",24/08/2023,HO/ICT/10342436/08/2023,Passenger Rail Agency of South Africa,Request for Quotation,National,24.08.2023,01.09.2023,30 WOLMARANS STREET - JOHANNESBURG - JOHANNESBURG - 2001,N/A,Lulama Lufundo,llufundo@prasa.com,012-748-7221,012-748-7221,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=f0d191ce-27e4-4b0a-960a-abaff3727924.docx&downloadedFileName=RFQ+_+DISASTER+RECOVERRY+PLAN+FOR+PRASA.docx
Other service activities,Appointment of an executive search/headhunting (recruitment) service provider to assist the hsrc in recruiting executive and/or critical skills posts for a period of twelve (12) months,24/08/2023,HSRC/04/2023/24,Human Sciences Research Council,Request for Bid(Open-Tender),National,24.08.2023,15.09.2023,134 Pretorius - Pretoria - Pretoria - 0002,"Link for briefing : 
https://teams.microsoft.com/l/meetup-join/19%3ameeting_NzVhYjJiMmItNGFhMy00NzQ3LTgwNWQtZTNhZmUyYWViNjVk%40thread.v2/0?context=%7b%22Tid%22%3a%22161524ab-4f53-4300-a494-dcdbaeb8e86c%22%2c%22Oid%22%3a%222e330870-e6d4-4756-83f8-a62a8da8e640%22%7d",Hilton Tsibande,htsibande@hsrc.ac.za,012-302-9269,N/A,Yes,Yes,"Friday, 01 September 2023 - 10:00",use the link under special conditions,https://www.etenders.gov.za/home/Download/?blobName=656dca7b-8db4-425b-9bf8-0b8415ece069.pdf&downloadedFileName=Appointment+of+an+Executive+Search+headhunting+%28Recruitment%29+service+provider+to+assist+the+HSRC+in+recruiting+Executive+and+or+Critical+Skills+posts+for+a+period+of+twelve+%2812%29+months.pdf
"Motion picture, video and television programme production, sound recording and music publishing activities",Golden shield heritage awards (gosha) marketing and communications services,24/08/2023,RFQ NHC/2023/24/114,National Heritage Council of South Africa,Request for Quotation,Gauteng,24.08.2023,31.08.2023,353 Festival street - Hatfield - Pretoria - 0083,None,Danny Legodi,danny@nhc.org.za,012-748-3949,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=d26d09f8-08e3-45f4-9e63-2a28b16541a8.pdf&downloadedFileName=RFQ+NHC-2023-24-114+-+GOSHA+Marketing+and+Communications+Services.pdf
Services: General,Cleaning of septic tanks and disposal thereof - vullindlela 12 months,24/08/2023,ZNQ02824/00000/00/PMC/GEN/23/T,Kwazulu Natal - Transport,Request for Quotation,KwaZulu-Natal,24.08.2023,05.09.2023,1 OLD CEDARA ROAD - UMNGENI - PIETERMARITZBURG - 3291,WASTE MUST BE DUMPED AT AN APPROVED DUMPSITE  AND WASTE DISPOSAL CERTIFICATE MUST  ACCOMPANY INVOICES FOR PAYMENT.,Gillian Whyte,Gillian.whyte@kzntransport.gov.za,033-940-4800,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=8d5ee37b-218c-4e1d-b530-50dcf16b7ba1.pdf&downloadedFileName=ZNQ02824+-SEPTIC+TANK+-+VUL.pdf
"Professional, scientific and technical activities",Provision for a panel of professional electrical engineering consultants,24/08/2023,Service 3,Majuba Tvet college,Request for Proposal,KwaZulu-Natal,24.08.2023,14.09.2023,83 Allen Street - CBD - CBD - 2940,Please see the attached advert for further details,Peggy Mazibuko,peggy.mazibuko@majuba.edu.za,034-326-4888,034-326-4111,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=8ca099cd-106b-420b-adce-420560597670.pdf&downloadedFileName=PROFESSIONAL+SERVICE+PROVIDERS.pdf
Other service activities,Provision of rain gauge calibration kit and batteries,24/08/2023,10103959,Umgeni Water,Request for Quotation,National,24.08.2023,31.08.2023,310 Burger Street - CBD - Pietermaritzburg - 3201,"Quotation document is available on e-portal, please indicate the quotation reference number upon submission as a subject line - 10103959

Documents to be submitted to Thobile.Ngcobo@umgeni.co.za",Thobile Ngcobo,Thobile.Ngcobo@umgeni.co.za,033-341-1324,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=0619c099-6b39-44f5-9fb1-d356c7f79630.pdf&downloadedFileName=10103959+TN.pdf
"Other professional, scientific and technical activities",Request for proposal (rfp) for the appointment of a professional resource team to undertake construction monitoring on all asbestos roofed government subsidized units at seshego township within polokwane local municipality in limpopo province,24/08/2023,HDA/LIM/2023/023,Housing Development Agency,Request for Proposal,Limpopo,24.08.2023,14.09.2023,Seshego Limpopo - Seshego Limpopo - Polokwane - 0700,N/A,Pfarelo Netshisaulu,pfarelo.netshisaulu@thehda.co.za,011-544-1000,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=a0c78afa-5428-4115-926a-89a4ba0240b2.pdf&downloadedFileName=PROFESSIONAL+RESOURCE+TEAM+FOR+CONSTRUCTION+MONITORING+ON+ALL+ASBESTOS+ROOFED+GOVERNMENT+SUBSIDIZED+UNITS+AT+SESHEGO+TOWNSHIP+WITHIN+POLOKWANE+LOCAL+MUNICIPALITY+.pdf
Services: General,Request for quotation (rfq) for the demolishing of the ohte lattice bridge structure in warner beach for prasa rail kzn,24/08/2023,KZN/RAIL/08/2023/07/Q-1,Passenger Rail Agency of South Africa,Request for Quotation,KwaZulu-Natal,24.08.2023,08.09.2023,65 MASABALALA YENGWA AVENUE - GREYVILLE - DURBAN - 4001,N/A,Rani Padayachee,rani.padayachee@prasa.com,031-813-0138,N/A,Yes,Yes,"Friday, 01 September 2023 - 10:00","PRASA, 65 Masabalala Yengwa Avenue, Greyvile, Durban Station, Roof Level Entrance",https://www.etenders.gov.za/home/Download/?blobName=495ba570-99b7-4932-a930-a8decfd8fcc3.pdf&downloadedFileName=KZN-RAIL-08-2023-07-Q-1-DEMOLISHING+OF+OHTE+LATTICE+BRIDGE.pdf
Services: General,Supply and delivery of training material for taxi rank marshall,24/08/2023,ZNQ01802/00000/00/HOD/GEN/T,Kwazulu Natal - Transport,Request for Quotation,KwaZulu-Natal,24.08.2023,30.08.2023,172 Burger Street - Pietetmaritzburg - Pietermaritzburg - 3201,N/A,Thembeka Hadebe,Thembeka.Hadebe@kzntransport.gov.za,033-355-8068,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=9515d1b4-8aa8-47c6-9452-15c9a8e93362.pdf&downloadedFileName=ZNQ01802-PROVISION+OF+TRAINING+MATERIAL+FOR+MARSHAL.pdf
Services: General,Teta accredited learnership for truck drivers code 14,24/08/2023,ZNQ04231/00000/00/HOD/GEN/22/T,Kwazulu Natal - Transport,Request for Quotation,KwaZulu-Natal,24.08.2023,31.08.2023,172 Burger Street - Pietetmaritzburg - Pietermaritzburg - 3201,N/A,Nqobile Mbongwa,Nqobile.Mbongwa@kzntransport.gov.za,033-355-0597,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=22fbe402-e2e3-40c8-93a4-2348ba2bc92b.pdf&downloadedFileName=ZNQ04231+TETA+ACCREDITED+LEARNERSHIP+FOR+TRUCK+DRIVERS+CODE+14+NEW.pdf
Repair and installation of machinery and equipment,Major service and maintenance of compressor at cah and weh,24/08/2023,15680,Automotive Industry Development Centre (AIDC),Request for Quotation,Gauteng,24.08.2023,29.08.2023,HELIUM ROAD - PRETORIA - PRETORIA - 0186,N/A,DANE VISAGIE,dvisagie@aidc.co.za,012-564-5003,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=dc4f27e7-6ac7-49a6-bd81-1031cf3302d1.pdf&downloadedFileName=RFQ+for+Service+and+Maintanance+of+Compressers+at+CAH+and+WEH.pdf, https://www.etenders.gov.za/home/Download/?blobName=7404f1ba-5e8a-4ffc-b807-e6359bd81594.pdf&downloadedFileName=Standard+Bidding+Document+%28SDB%29+4_Annexure+A.pdf, https://www.etenders.gov.za/home/Download/?blobName=37811739-95a0-4b86-b6db-e70a0552b13d.pdf&downloadedFileName=SBD+6.1+IN+TERMS+OF+PPR2022-++V3+APRIL+2023+.pdf"
Services: General,Provision of first aid training for pcp attendants,24/08/2023,ZNQ03589/00000/00/HOD/GEN/22T,Kwazulu Natal - Transport,Request for Quotation,KwaZulu-Natal,24.08.2023,30.08.2023,172 Burger Street - Pietetmaritzburg - Pietermaritzburg - 3201,N/A,Xolile Sithebe,Xolile.Sithebe@kzntransport.gov.za,033-355-8065,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=bbf15819-b663-477c-ba6f-e0a8b52a6d3f.pdf&downloadedFileName=ZNQ03589+APPOINTMENT+OF+SERVICE+PROVIDER+FOR+FIRST+AID.pdf
Services: General,Supply and delivery of z-perform 1000d 80 thermal paper roll for pod’s,24/08/2023,ZNQ00575/00000/00/HOD/GEN/23/T,Kwazulu Natal - Transport,Request for Quotation,KwaZulu-Natal,24.08.2023,29.08.2023,172 Burger Street - Pietermaritzburg - Pietermaritzburg - 3201,N/A,Lindiwe Ndlovu,Lindiwe.Ndlovu@kzntransport.gov.za,033-355-8729,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=5d18fd10-204f-4b62-a02e-c0d30a0d8972.pdf&downloadedFileName=ZNQ00575-+Z-PERFORM+1000D+80+THERMAL+PAPER+ROLL.pdf
Other personal service activities,Provision of ec1 driver's license for gmm employee's,24/08/2023,8/3/2-144/2023,Govan Mbeki Local Municipality,Request for Quotation,Mpumalanga,24.08.2023,30.08.2023,HORWOOD STREET - SECUNDA - SECUNDA - 2302,N/A,DUDUZILE MASEKO,dudu.m@govanmbeki.gov.za,017-620-6000,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=c8caa520-20e4-4e45-bef8-e945951c94b7.pdf&downloadedFileName=SKM_550i23082411030.pdf
Services: General,Supply and delivery of dot mec reflective jacket,24/08/2023,ZNQ01340/00000/00/HOD/GEN/23/T,Kwazulu Natal - Transport,Request for Quotation,KwaZulu-Natal,24.08.2023,29.08.2023,172 Burger Street - Pietetmaritzburg - Pietermaritzburg - 3201,N/A,Gerhard Schafer,Gerhrard.Schafer@kzntransport.gov.za,072-721-0579,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=773b5987-ad98-4d12-ac5c-bd9b1b4cbed4.pdf&downloadedFileName=ZNQ01340+SUPPLY+AND+DELIVERY+OF+THE+DOT+MEC+REFLECTIVE+JACKET.pdf
Supplies: General,Request for quotation (rfq) supply and delivery of filing boxes with lids.,24/08/2023,RFQ NUMBER: 10342826,Passenger Rail Agency of South Africa,Request for Quotation,Gauteng,24.08.2023,29.08.2023,CNR LEYDS AND SIMMONS STREETS BRAAMFONTEIN JOHANNESBURG - JOHANNESBURG - JOHANNESBURG - 2001,N/A,Miranda Mazibuko,Miranda.Mazibuko@prasa.com,011-085-7066,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=d183718f-7861-4018-a3ee-b5ac0b77a763.pdf&downloadedFileName=Supply+and+delivery+of+filing+boxes+with+lids+%28003%29.pdf
Construction of buildings,Construction of huku new police station: eastern cape province,24/08/2023,19/1/9/1/49 TB (23),South African Police Service,Request for Bid(Open-Tender),Eastern Cape,24.08.2023,29.09.2023,Portion 7 of the farm Mandileni No. 88 - Umzimvubu  - Umzimvubu - 5090,bidder must have a CIDB grading of 8 GB,Lieutenant Colonel  LM Thipe,ThipeLM@saps.gov.za,012-841-7235,012-841-7235,Yes,Yes,"Thursday, 14 September 2023 - 11:00","Mount Frere Police Station, Main Street, Mount Frere, Eastern Cape.","https://www.etenders.gov.za/home/Download/?blobName=39ec43a1-d678-45d8-89c2-02491dd37c5d.pdf&downloadedFileName=HUKU+PAGE+61+TO+90+OF+234.pdf, https://www.etenders.gov.za/home/Download/?blobName=7fec169b-f168-415d-8128-07dda8928fca.pdf&downloadedFileName=HUKU+PAGE+31+TO+60+OF+234.pdf, https://www.etenders.gov.za/home/Download/?blobName=a5e1b78d-f18d-40cd-9429-153c7a7d1ed1.pdf&downloadedFileName=HUKU+PAGE+151+TO+180+OF+234.pdf, https://www.etenders.gov.za/home/Download/?blobName=1fc55a58-1e32-41bf-9753-31638c4f5452.pdf&downloadedFileName=HUKU+PAGE+181+TO+210+OF+234.pdf, https://www.etenders.gov.za/home/Download/?blobName=09a748a2-d19f-4bcf-988f-6fc11d88cfc1.pdf&downloadedFileName=HUKU+PAGE+91+TO+120+OF+234.pdf, https://www.etenders.gov.za/home/Download/?blobName=30859d9f-39e1-4c61-9657-7f6439da4579.pdf&downloadedFileName=HUKU+PAGE+121+TO+150+OF+234.pdf, https://www.etenders.gov.za/home/Download/?blobName=9d0a6c77-07bb-4fa7-8777-98a2125b7030.pdf&downloadedFileName=HUKU+PAGE+211+TO+234+OF+234.pdf, https://www.etenders.gov.za/home/Download/?blobName=c4c9d8d0-20a1-42c7-8d1e-9a308a298bce.pdf&downloadedFileName=HUKU+PAGE+1+TO+30+OF+234.pdf"
Rental and leasing activities,Provision for office space rental for burgersfort office,24/08/2023,RFI/LEASE/BURGFT/2023/05,Perishable Products Export Control Board,Request for Information,Limpopo,24.08.2023,06.09.2023,,N/A,Portia Jonginyanga,portiaj@ppecb.com,021-930-1134,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=736f6b19-e234-402b-a050-acd763c70987.pdf&downloadedFileName=FRI+Lease+for+Burgersfort+-+August+2023.pdf
Services: Professional,Emergency procurement of an enterprise - grade on premises storage system facility,24/08/2023,CTT25620,PetroSA,Request for Proposal,Western Cape,24.08.2023,04.09.2023,151 FRANS CONRADIE DRIVE  - CAPE TOWN  - CAPE TOWN  - 7500,N/A,HENNIE FORTUIN,martinhennie.fortuin@petrosa.co.za,021-929-3211,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=b621d14f-8754-4f4e-b572-34d33912c8f5.pdf&downloadedFileName=Tender+-+Enterprise+Storage+System.pdf
Services: Professional,Sassa hereby invides service provider/s for procurement of training services in prince 2 project management for the south african social security agency (sassa),24/08/2023,SASSA: 36-23-ICT-HO,South African Social Security Agency,Request for Proposal,National,24.08.2023,15.09.2023,"SASSA Head Office, 501 Prodinsa Building, Cnr Steve Biko (Beatrix) and Pretorius streets, Arcadia, - Arcadia - Arcadia - 0083",as per the TOR,Ms Mogafe Christine Mphahlele,womenleadership@sassa.gov.za,012-400-2412,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=e7dd6100-1231-4199-9c3f-35cd3a4d1658.pdf&downloadedFileName=TENDER+DOC+SASSA+36+24+ICT+HO.pdf
Printing and reproduction of recorded media,"Provision of bulk processing, printing and posting of monthly statements for endumeni local municipality for a period of 36 months",24/08/2023,B04/2023-24,Endumeni Local Municipality,Request for Proposal,KwaZulu-Natal,24.08.2023,22.09.2023,64 VICTORIA STREET - DUNDEE - DUNDEE - 3000,BID DOCUMENTS MUST BE BINDED,MR MC MASONDO,masondom@endumeni.gov.za,034-212-2121,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=32588fc5-f324-406c-ae47-833469d4ea25.pdf&downloadedFileName=B04-2023-24+PROVISION+OF+BULK+PROCESSING+PRINTING+AND+POSTING+OF+MONTHLY+STATEMENTS.pdf
"Professional, scientific and technical activities",Request for quotations for job evaluation and grading services to be provided for a period of one (1) year.,24/08/2023,RFQ/JOBEVALUATIONANDGRADINGSERVICES/33/2023-2024,South African Civil Aviation Authority,Request for Quotation,Gauteng,24.08.2023,06.09.2023,Bilding 16 Waterfall Park Bekker Rd & Treur Cl - Midrand - Midrand - 1682,Bids to be submitted at the tender box at the SACAA midrand office,Ms Itumeleng Matjie,matjiei@caa.co.za,083-461-6057,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=913340ea-7b89-4dc8-a431-67b9ceb49edb.pdf&downloadedFileName=Job+Evaluation+Terms+of+Reference.pdf, https://www.etenders.gov.za/home/Download/?blobName=c8ee4471-99d2-434b-a33f-9ff17bd668a2.doc&downloadedFileName=NEW+SBD+4.doc"
Security and investigation activities,"The south african weather service (saws) seeks to appoint a service provider to provide security 
services to the saws head office and irene office",24/08/2023,Bid Number: SAWS-370/23,South African Weather Service,Request for Bid(Open-Tender),Gauteng,24.08.2023,15.09.2023,Irene Office of the South African Weather Service is situated  -  Irene  Farm within Agricultural - Irene - 0157,N/A,Ms.Carol Lekalakala,Carol.lekalakala@weathersa.co.za,012-367-6252,N/A,Yes,Yes,"Thursday, 07 September 2023 - 10:00",The Irene Office of the South African Weather Service is situated at Irene  Farm within Agricultural,https://www.etenders.gov.za/home/Download/?blobName=f01ef2f6-4d40-4dd4-ba52-196d1a883914.pdf&downloadedFileName=SAWS+Bid-370+Security+Services.pdf
Construction of buildings,"Repair light rail in saa1 at 1 ruth first street,lotus gardens,pretoria",24/08/2023,364076,DENEL (Pty) Ltd,Request for Bid(Limited-Tender,Gauteng,24.08.2023,01.09.2023,1 Ruth FIRST STREET - PRETORIA - PRETORIA - 0008,NEED TO INSPECT ON SIDE BEFORE QUOTING,EZRA RYCE,ezrar@pmp.co.za,012-318-1652,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=c48df91f-b719-475f-972c-06b5548588e6.pdf&downloadedFileName=SKM_28723082412100.pdf
Supplies: Clothing/Textiles/Footwear,Appointment of a panel for supply and delivery of municipal regalia for endumeni local municipality for a period of 36 months,24/08/2023,B05/2023-24,Endumeni Local Municipality,Request for Proposal,KwaZulu-Natal,24.08.2023,22.09.2023,64 VICTORIA STREET - DUNDEE - DUNDEE  - 3000,BID DOCUMENT MUST BE BINDED,NONDUMISO ZULU,zulunz@endumeni.gov.za,034-212-2121,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=095a050a-872b-4917-90ad-72dcd67e2e5b.pdf&downloadedFileName=B05-2023-24+PANEL+FOR+SUPPLY+AND+DELIVERY+OF+MUNICIPAL+REGALIA+FOR+36+MONTHS.pdf
Services: General,The supply delivery installation replace and maintenance of air conditioners for a period of three years,24/08/2023,GRDM/07/23-24,Garden Route District Local Municipality,Request for Quotation,Western Cape,24.08.2023,18.09.2023,54 York Street - George - George - 6530,N/A,Nathan Juries,nathan@gardenroute.gov.za,044-803-1310,086-215-5503,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=1f2c7fcf-4a36-4340-9fe1-529abbecf164.pdf&downloadedFileName=GRDM0723-24+The+supply+delivery+installation+replace+and+maintenance+of+air+conditioners+for+a+period+of+three+years.pdf
Manufacturing,"Applications are hereby invited from potential bidders wishing to be placed on transnet engineering approved list 100, as suppliers or manufacturer’s for the transnet engineering port hauler specialised goods or components and / or equipment, within transnet engineering port business",24/08/2023,TE/2023/08/0068/40397/RFP,Transnet SOC Ltd,Request for Proposal,KwaZulu-Natal,24.08.2023,26.09.2023,311 Solomon Mahlangu - Rossburgh - Durban - 4000,N/A,Krish Brijlal,krish.brijlal@transnet.net,031-361-4071,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=098525e2-38cb-4a8b-b547-058778cbc18b.PDF&downloadedFileName=PD_RD_NAT_SPEC_168_03_000_PDF_01.PDF, https://www.etenders.gov.za/home/Download/?blobName=3acff1c0-71f9-4446-9d06-152418259a44.PDF&downloadedFileName=PD_RDM_NAT_SPEC_0039_06_000_PDF_01.PDF, https://www.etenders.gov.za/home/Download/?blobName=9f5b7ce1-5c15-4c17-9f8c-1cef29a8b1da.PDF&downloadedFileName=PD_RD_NAT_SPEC_+0009_03_000_PDF_01.PDF, https://www.etenders.gov.za/home/Download/?blobName=e061128f-2a5b-4d3c-bfa0-358ceb8550c3.PDF&downloadedFileName=PD_DE_NAT_SPEC_005_04_000_PDF_01.PDF, https://www.etenders.gov.za/home/Download/?blobName=3d0eeba7-287c-42a3-a048-3bb7dac53221.PDF&downloadedFileName=PD_DE_NAT_SPEC_030_05_000_PDF_01.PDF, https://www.etenders.gov.za/home/Download/?blobName=72dd64f3-68bc-41e9-9164-4ee7d122096e.pdf&downloadedFileName=Annexure+A+-+List+of+Items+or+Components+TE202308006840397RFP.pdf, https://www.etenders.gov.za/home/Download/?blobName=9e099942-306c-43ce-a78b-585a58328b1f.pdf&downloadedFileName=Annexure+B+-+Transnet+General+Bid+Conditions+TE202308006840397RFP.pdf, https://www.etenders.gov.za/home/Download/?blobName=897d0b27-5703-4bca-89d4-61155aa2e945.PDF&downloadedFileName=PD_DE_NAT_SPEC_021_05_000_PDF_01.PDF, https://www.etenders.gov.za/home/Download/?blobName=ac6ec7db-f561-43f1-8a53-615bc82f54c8.pdf&downloadedFileName=Annexure+C+-+Supplier+Integrity+Pact+TE202308006840397RFP.pdf, https://www.etenders.gov.za/home/Download/?blobName=6b0d677b-265c-4ebd-bd69-6eddffe4df50.PDF&downloadedFileName=RD_RD_KDS_SPEC_0036_03_000_PDF_01.PDF, https://www.etenders.gov.za/home/Download/?blobName=cc6ad9e4-9812-4aac-99ad-75109fa82f14.PDF&downloadedFileName=PD_DE_NAT_SPEC_007_05_000_PDF_01.PDF, https://www.etenders.gov.za/home/Download/?blobName=315f5cf0-b6c7-4aec-9428-82f48debe504.PDF&downloadedFileName=RD_RD_NAT_SPEC+_0011_02_000_PDF_01.PDF, https://www.etenders.gov.za/home/Download/?blobName=ba12c03c-30c2-45a5-b98f-930d95557823.PDF&downloadedFileName=PD_RD_NAT_SPEC_098_03_000_PDF_01.PDF, https://www.etenders.gov.za/home/Download/?blobName=f3c11a1a-e717-425f-a112-b4e8e88d47e3.PDF&downloadedFileName=PD_DE_NAT_SPEC_009_06_000_PDF_01.PDF, https://www.etenders.gov.za/home/Download/?blobName=525e0712-1fe1-4194-875e-b735ac904a32.PDF&downloadedFileName=PD_RDM_NAT_SPEC_019_04_000_PDF_01.PDF, https://www.etenders.gov.za/home/Download/?blobName=9bcca8ca-e972-4403-bcce-cafc517c6886.PDF&downloadedFileName=PD_DE_NAT_SPEC_040_04_000_PDF_01.PDF, https://www.etenders.gov.za/home/Download/?blobName=0bb9298f-77ce-4bba-9ff6-cda9fef76adc.PDF&downloadedFileName=PD_RD_NAT_SPEC_040_02_000_PDF_01.PDF, https://www.etenders.gov.za/home/Download/?blobName=d29c4cde-1c97-4041-902b-cdf2689fd686.pdf&downloadedFileName=RFP+Goods+without+LC+and+Services_Approved+List+100+TE202308006840397RFP.pdf, https://www.etenders.gov.za/home/Download/?blobName=26bdcfbd-292e-4707-ba6e-dd9410f25c16.PDF&downloadedFileName=PD_RDM_NAT_SPEC_030_01_000_PDF_01.PDF, https://www.etenders.gov.za/home/Download/?blobName=72652e54-b4ed-4170-a0b9-e8a420845523.PDF&downloadedFileName=PD_DE_NAT_SPEC_020_04_000_PDF_01.PDF, https://www.etenders.gov.za/home/Download/?blobName=e4f1d50e-56c6-4758-9cd6-f739028d58ab.pdf&downloadedFileName=Annexure+D+-+Non+Disclosure+Agreement+April+2020_V1+TE202308006840397RFP.pdf"
Supplies: Electrical Equipment,Request for quotation (rfq) for the supply and delivery of substation material for prasa rail kzn,24/08/2023,KZN/RAIL/08/2023/09/Q,Passenger Rail Agency of South Africa,Request for Quotation,KwaZulu-Natal,24.08.2023,01.09.2023,65 MASABALALA YENGWA AVENUE - GREYVILLE - DURBAN - 4001,N/A,Rani Padayachee,rani.padayachee@prasa.com,031-813-0138,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=f74a1086-f6a1-48ea-87c7-d27981b7fbaa.pdf&downloadedFileName=KZN-RAIL-08-2023-09-SUBSTATION+MATERIAL.pdf
